1000
Atoms. Timestep: 0
A 0 0 0
B 0 0 2
A 0 0 4
A 0 0 6
B 0 0 8
A 0 0 10
A 0 0 12
A 0 0 14
B 0 0 16
B 0 0 18
A 0 2 0
B 0 2 2
A 0 2 4
A 0 2 6
B 0 2 8
B 0 2 10
A 0 2 12
B 0 2 14
B 0 2 16
B 0 2 18
B 0 4 0
A 0 4 2
B 0 4 4
B 0 4 6
B 0 4 8
B 0 4 10
B 0 4 12
B 0 4 14
A 0 4 16
B 0 4 18
A 0 6 0
B 0 6 2
B 0 6 4
B 0 6 6
B 0 6 8
B 0 6 10
B 0 6 12
B 0 6 14
B 0 6 16
A 0 6 18
B 0 8 0
B 0 8 2
A 0 8 4
A 0 8 6
A 0 8 8
B 0 8 10
A 0 8 12
B 0 8 14
B 0 8 16
B 0 8 18
A 0 10 0
A 0 10 2
A 0 10 4
B 0 10 6
B 0 10 8
A 0 10 10
A 0 10 12
B 0 10 14
B 0 10 16
A 0 10 18
B 0 12 0
B 0 12 2
B 0 12 4
A 0 12 6
B 0 12 8
B 0 12 10
A 0 12 12
B 0 12 14
B 0 12 16
A 0 12 18
A 0 14 0
B 0 14 2
B 0 14 4
A 0 14 6
B 0 14 8
B 0 14 10
A 0 14 12
A 0 14 14
B 0 14 16
A 0 14 18
B 0 16 0
A 0 16 2
A 0 16 4
B 0 16 6
B 0 16 8
B 0 16 10
A 0 16 12
B 0 16 14
B 0 16 16
A 0 16 18
A 0 18 0
A 0 18 2
B 0 18 4
B 0 18 6
B 0 18 8
B 0 18 10
B 0 18 12
A 0 18 14
B 0 18 16
B 0 18 18
B 2 0 0
A 2 0 2
A 2 0 4
A 2 0 6
A 2 0 8
B 2 0 10
A 2 0 12
A 2 0 14
B 2 0 16
A 2 0 18
A 2 2 0
A 2 2 2
B 2 2 4
B 2 2 6
A 2 2 8
A 2 2 10
A 2 2 12
B 2 2 14
A 2 2 16
A 2 2 18
A 2 4 0
A 2 4 2
B 2 4 4
B 2 4 6
A 2 4 8
A 2 4 10
B 2 4 12
A 2 4 14
A 2 4 16
A 2 4 18
B 2 6 0
B 2 6 2
B 2 6 4
A 2 6 6
A 2 6 8
A 2 6 10
B 2 6 12
A 2 6 14
A 2 6 16
A 2 6 18
A 2 8 0
B 2 8 2
A 2 8 4
A 2 8 6
A 2 8 8
A 2 8 10
B 2 8 12
B 2 8 14
A 2 8 16
A 2 8 18
B 2 10 0
B 2 10 2
A 2 10 4
A 2 10 6
A 2 10 8
B 2 10 10
B 2 10 12
A 2 10 14
B 2 10 16
B 2 10 18
B 2 12 0
A 2 12 2
B 2 12 4
A 2 12 6
A 2 12 8
B 2 12 10
B 2 12 12
A 2 12 14
B 2 12 16
A 2 12 18
B 2 14 0
A 2 14 2
A 2 14 4
A 2 14 6
A 2 14 8
B 2 14 10
B 2 14 12
B 2 14 14
B 2 14 16
B 2 14 18
B 2 16 0
B 2 16 2
A 2 16 4
A 2 16 6
B 2 16 8
A 2 16 10
B 2 16 12
B 2 16 14
B 2 16 16
B 2 16 18
B 2 18 0
A 2 18 2
B 2 18 4
A 2 18 6
B 2 18 8
B 2 18 10
B 2 18 12
A 2 18 14
A 2 18 16
B 2 18 18
B 4 0 0
B 4 0 2
A 4 0 4
B 4 0 6
B 4 0 8
B 4 0 10
A 4 0 12
A 4 0 14
A 4 0 16
A 4 0 18
A 4 2 0
B 4 2 2
A 4 2 4
A 4 2 6
B 4 2 8
B 4 2 10
A 4 2 12
B 4 2 14
A 4 2 16
A 4 2 18
A 4 4 0
A 4 4 2
B 4 4 4
B 4 4 6
B 4 4 8
A 4 4 10
B 4 4 12
A 4 4 14
A 4 4 16
B 4 4 18
A 4 6 0
B 4 6 2
B 4 6 4
B 4 6 6
A 4 6 8
A 4 6 10
B 4 6 12
A 4 6 14
A 4 6 16
B 4 6 18
A 4 8 0
B 4 8 2
B 4 8 4
B 4 8 6
B 4 8 8
A 4 8 10
B 4 8 12
B 4 8 14
A 4 8 16
A 4 8 18
A 4 10 0
B 4 10 2
A 4 10 4
B 4 10 6
A 4 10 8
